lowRangeNumber;highRangeNumber;lengthBasePrimeRange;lengthBasePrime;sqrtMaxRange;lengthRangeAnalysis;Time;Date;nrowsReadBasePrime
2;3;1;2;2;1;2016-06-05 12:46:26;2016-06-05;0
3;5;2;3;3;1;2016-06-05 12:46:26;2016-06-05;0
5;7;2;4;3;1;2016-06-05 12:46:26;2016-06-05;2
7;11;2;5;4;2;2016-06-05 12:46:26;2016-06-05;3
11;13;3;7;5;2;2016-06-05 12:46:26;2016-06-05;3
17;19;3;9;6;2;2016-06-05 12:46:26;2016-06-05;4
23;29;4;11;7;4;2016-06-05 12:46:26;2016-06-05;5
31;37;4;15;8;4;2016-06-05 12:46:26;2016-06-05;6
47;53;4;19;10;6;2016-06-05 12:46:26;2016-06-05;7
67;71;5;25;12;8;2016-06-05 12:46:26;2016-06-05;9
97;101;6;33;14;12;2016-06-05 12:46:26;2016-06-05;12
137;139;7;45;17;13;2016-06-05 12:46:26;2016-06-05;16
197;199;8;58;20;19;2016-06-05 12:46:26;2016-06-05;10
271;277;9;77;23;24;2016-06-05 12:46:26;2016-06-05;14
389;397;9;101;28;36;2016-06-05 12:46:26;2016-06-05;17
547;557;11;137;33;48;2016-06-05 12:46:26;2016-06-05;21
773;787;12;185;39;61;2016-06-05 12:46:26;2016-06-05;24
1103;1109;15;246;47;83;2016-06-05 12:46:26;2016-06-05;28
