lowRangeNumber;highRangeNumber;lengthPTR;lengthBP;sqrtMR;time;date
3;5;1;2;2;2016-05-22 19:58:21;2016-05-22
5;8;2;3;3;2016-05-22 19:58:21;2016-05-22
8;13;2;4;4;2016-05-22 19:58:22;2016-05-22
13;21;2;6;4;2016-05-22 19:58:22;2016-05-22
21;34;3;8;6;2016-05-22 19:58:22;2016-05-22
34;55;4;11;7;2016-05-22 19:58:22;2016-05-22
55;89;4;16;9;2016-05-22 19:58:22;2016-05-22
89;144;5;24;12;2016-05-22 19:58:22;2016-05-22
144;233;6;34;15;2016-05-22 19:58:22;2016-05-22
233;377;8;51;19;2016-05-22 19:58:22;2016-05-22
377;610;9;74;25;2016-05-22 19:58:22;2016-05-22
610;987;11;111;31;2016-05-22 19:58:22;2016-05-22
987;1597;12;166;40;2016-05-22 19:58:22;2016-05-22
1597;2584;15;251;51;2016-05-22 19:58:22;2016-05-22
2584;4181;18;376;65;2016-05-22 19:58:22;2016-05-22
4181;6765;22;574;82;2016-05-22 19:58:22;2016-05-22
6765;10946;27;871;105;2016-05-22 19:58:22;2016-05-22
10946;17711;32;1329;133;2016-05-22 19:58:23;2016-05-22
17711;28657;39;2033;169;2016-05-22 19:58:23;2016-05-22
28657;46368;47;3121;215;2016-05-22 19:58:24;2016-05-22
46368;75025;58;4794;274;2016-05-22 19:58:26;2016-05-22
75025;121393;69;7396;348;2016-05-22 19:58:29;2016-05-22
121393;196418;86;11425;443;2016-05-22 19:58:35;2016-05-22
196418;317811;103;17688;564;2016-05-22 19:58:47;2016-05-22
317811;514229;127;27426;717;2016-05-22 19:59:09;2016-05-22
514229;832040;156;42613;912;2016-05-22 19:59:51;2016-05-22
832040;1346269;191;66317;1160;2016-05-22 20:01:11;2016-05-22
1346269;2178309;233;103298;1476;2016-05-22 20:03:40;2016-05-22
2178309;3524578;288;161207;1877;2016-05-22 20:08:24;2016-05-22
3524578;5702887;354;251757;2388;2016-05-22 20:17:22;2016-05-22
5702887;9227465;435;393790;3038;2016-05-22 20:34:27;2016-05-22
9227465;14930352;536;616645;3864;2016-05-22 20:55:52;2016-05-22
