lowRangeNumber;highRangeNumber;lengthBasePrimeRange;lengthBasePrime;sqrtMaxRange;lengthRangeAnalysis;Time;Date
2;3;1;2;2;1;2016-06-01 21:42:03;2016-06-01
3;5;2;3;3;1;2016-06-01 21:42:03;2016-06-01
5;7;2;4;3;1;2016-06-01 21:42:03;2016-06-01
7;11;1;5;4;2;2016-06-01 21:42:03;2016-06-01
11;13;3;7;5;2;2016-06-01 21:42:03;2016-06-01
17;19;3;9;6;2;2016-06-01 21:42:03;2016-06-01
23;29;4;11;7;4;2016-06-01 21:42:03;2016-06-01
31;37;4;15;8;4;2016-06-01 21:42:03;2016-06-01
47;53;4;19;10;6;2016-06-01 21:42:03;2016-06-01
67;71;5;25;12;8;2016-06-01 21:42:03;2016-06-01
97;101;6;33;14;12;2016-06-01 21:42:03;2016-06-01
137;139;7;45;17;13;2016-06-01 21:42:03;2016-06-01
197;199;8;58;20;19;2016-06-01 21:42:03;2016-06-01
271;277;9;77;23;24;2016-06-01 21:42:03;2016-06-01
389;397;9;101;28;36;2016-06-01 21:42:03;2016-06-01
547;557;11;137;33;48;2016-06-01 21:42:03;2016-06-01
773;787;12;185;39;61;2016-06-01 21:42:03;2016-06-01
1103;1109;15;246;47;83;2016-06-01 21:42:03;2016-06-01
1559;1567;16;329;56;116;2016-06-01 21:42:03;2016-06-01
2207;2213;18;445;66;155;2016-06-01 21:42:03;2016-06-01
3121;3137;22;600;79;213;2016-06-01 21:42:03;2016-06-01
4409;4421;24;813;94;286;2016-06-01 21:42:03;2016-06-01
6257;6263;29;1099;112;396;2016-06-01 21:42:03;2016-06-01
8821;8831;32;1495;133;532;2016-06-01 21:42:03;2016-06-01
12517;12527;37;2027;158;739;2016-06-01 21:42:03;2016-06-01
17627;17657;42;2766;188;993;2016-06-01 21:42:04;2016-06-01
25037;25057;48;3759;224;1384;2016-06-01 21:42:04;2016-06-01
35281;35291;56;5143;266;1848;2016-06-01 21:42:04;2016-06-01
50093;50101;66;6991;317;2616;2016-06-01 21:42:05;2016-06-01
70571;70573;74;9607;376;3500;2016-06-01 21:42:05;2016-06-01
100193;100207;86;13107;448;4911;2016-06-01 21:42:06;2016-06-01
141131;141157;99;18018;531;6608;2016-06-01 21:42:08;2016-06-01
200383;200401;115;24626;633;9291;2016-06-01 21:42:10;2016-06-01
282287;282299;133;33917;751;12499;2016-06-01 21:42:13;2016-06-01
400759;400823;154;46416;895;17661;2016-06-01 21:42:19;2016-06-01
564533;564593;179;64077;1063;23744;2016-06-01 21:42:26;2016-06-01
801571;801607;205;87821;1266;33548;2016-06-01 21:42:39;2016-06-01
1129111;1129127;239;121369;1503;45282;2016-06-01 21:42:59;2016-06-01
1603159;1603183;278;166651;1791;63990;2016-06-01 21:43:32;2016-06-01
2258233;2258251;319;230641;2125;86373;2016-06-01 21:44:23;2016-06-01
3206339;3206347;370;317014;2532;122199;2016-06-01 21:45:48;2016-06-01
4516481;4516507;431;439213;3005;165274;2016-06-01 21:48:06;2016-06-01
6412669;6412739;501;604487;3581;234155;2016-06-01 21:51:52;2016-06-01
9032987;9032993;582;838642;4250;316625;2016-06-01 21:57:29;2016-06-01
12825403;12825419;677;1155267;5065;448770;2016-06-01 22:06:51;2016-06-01
18065921;18065981;785;1604037;6011;607827;2016-06-01 22:20:42;2016-06-01
