lowRangeNumber;highRangeNumber;lengthBasePrimeRange;lengthBasePrime;sqrtMaxRange;lengthRangeAnalysis;;;;;;;;;Time;Date;;;;;
2;3;1;2;2;1;;0;1;19,8692;;;;;02/06/2016 22:09;02/06/2016;;10;11;2;3
3;5;2;3;3;1;;0;2;9,3216;0;0;0;0;02/06/2016 22:09;02/06/2016;;11;101;3;5
5;7;2;4;3;1;;-2,622;3;1,683;0;0;0;0;02/06/2016 22:09;02/06/2016;;101;111;5;1
7;11;1;5;4;2;;-2,565;4;-3,454;1;0,693147181;0,301029996;0,386852807;02/06/2016 22:09;02/06/2016;;111;1011;1;5
11;13;3;7;5;2;;-2,508;5;-6,468;0;0,693147181;0,301029996;0,386852807;02/06/2016 22:09;02/06/2016;;1011;1101;5;1
17;19;3;9;6;2;;-2,451;6;-7,7088;0;0,693147181;0,301029996;0,386852807;02/06/2016 22:09;02/06/2016;;10001;10011;5;1
23;29;4;11;7;4;4;-2,394;7;-7,4974;2;1,386294361;0,602059991;0,773705614;02/06/2016 22:09;02/06/2016;;10111;11101;5;5
31;37;4;15;8;4;6;-2,337;8;-6,126;0;1,386294361;0,602059991;0,773705614;02/06/2016 22:09;02/06/2016;;11111;100101;1;1
47;53;4;19;10;6;7;-2,28;9;-3,858;2;1,791759469;0,77815125;1;02/06/2016 22:09;02/06/2016;;101111;110101;5;5
67;71;5;25;12;8;9;-2,223;10;-0,928;2;2,079441542;0,903089987;1,160558422;02/06/2016 22:09;02/06/2016;;1000011;1000111;1;5
97;101;6;33;14;12;11;-2,166;11;2,4582;4;2,48490665;1,079181246;1,386852807;02/06/2016 22:09;02/06/2016;;1100001;1100101;1;5
137;139;7;45;17;13;14;-2,109;12;6,1236;1;2,564949357;1,113943352;1,431525493;02/06/2016 22:09;02/06/2016;;10001001;10001011;5;1
197;199;8;58;20;19;17;-2,052;13;9,92;6;2,944438979;1,278753601;1,643322684;02/06/2016 22:09;02/06/2016;;11000101;11000111;5;1
271;277;9;77;23;24;23;-1,995;14;13,728;5;3,17805383;1,380211242;1,773705614;02/06/2016 22:09;02/06/2016;;100001111;100010101;1;1
389;397;9;101;28;36;29;-1,938;15;17,457;12;3,583518938;1,556302501;2;02/06/2016 22:09;02/06/2016;;110000101;110001101;5;1
547;557;11;137;33;48;38;-1,881;16;21,0452;12;3,871201011;1,681241237;2,160558422;02/06/2016 22:09;02/06/2016;;#¡NUM!;#¡NUM!;1;5
773;787;12;185;39;61;49;-1,824;17;24,4596;13;4,110873864;1,785329835;2,294322388;02/06/2016 22:09;02/06/2016;;#¡NUM!;#¡NUM!;5;1
1103;1109;15;246;47;83;63;-1,767;18;27,696;22;4,418840608;1,919078092;2,4662019;02/06/2016 22:09;02/06/2016;;#¡NUM!;#¡NUM!;5;5
1559;1567;16;329;56;116;82;-1,71;19;30,779;33;4,753590191;2,064457989;2,6530292;02/06/2016 22:09;02/06/2016;;#¡NUM!;#¡NUM!;5;1
