lowRangeNumber;highRangeNumber;lengthBasePrimeRange;lengthBasePrime;sqrtMaxRange;lengthRangeAnalysis;Time;Date;
2;3;1;2;2;2;14:52:47;29/05/2016;53567
3;5;2;3;3;3;14:52:47;29/05/2016;53567
5;7;2;4;3;5;14:53:16;29/05/2016;53596
7;11;2;5;4;7;14:53:16;29/05/2016;53596
11;17;3;7;5;11;14:53:16;29/05/2016;53596
17;23;3;9;6;17;14:53:16;29/05/2016;53596
23;37;4;12;8;23;14:53:16;29/05/2016;53596
37;59;4;17;10;37;14:53:16;29/05/2016;53596
59;89;5;24;12;59;14:53:16;29/05/2016;53596
89;139;6;34;15;89;14:53:16;29/05/2016;53596
139;227;8;49;19;139;14:53:16;29/05/2016;53596
227;359;9;72;24;227;14:53:16;29/05/2016;53596
359;577;11;106;31;359;14:53:16;29/05/2016;53596
577;929;12;158;39;577;14:53:16;29/05/2016;53596
929;1499;15;239;49;929;14:53:16;29/05/2016;53596
1499;2423;18;360;63;1499;14:54:09;29/05/2016;53649
2423;3919;22;543;80;2423;14:54:09;29/05/2016;53649
3919;6337;26;825;101;3919;14:54:10;29/05/2016;53650
6337;10253;31;1257;129;6337;14:54:10;29/05/2016;53650
10253;16573;38;1919;164;10253;14:54:58;29/05/2016;53698
16573;26821;46;2942;208;16573;14:54:59;29/05/2016;53699
26821;43391;56;4523;265;26821;14:55:00;29/05/2016;53700
43391;70207;68;6959;337;43391;14:55:03;29/05/2016;53703
70207;113591;82;10757;429;70207;14:55:09;29/05/2016;53709
113591;183797;100;16647;545;113591;14:55:22;29/05/2016;53722
183797;297377;125;25797;694;183797;14:55:42;29/05/2016;53742
297377;481171;152;40101;882;297377;14:56:20;29/05/2016;53780
481171;778541;187;62360;1122;481171;14:57:34;29/05/2016;53854
778541;1259701;225;97165;1428;778541;14:59:55;29/05/2016;53995
1259701;2038217;280;151588;1816;1259701;15:04:18;29/05/2016;54258
2038217;3297913;343;236781;2310;2038217;15:12:31;29/05/2016;54751
3297913;5336129;423;370240;2938;3297913;15:23:24;29/05/2016;55404
5336129;8633983;521;579570;3738;5336129;15:38:42;29/05/2016;56322
8633983;13970093;640;908291;4754;8633983;16:09:09;29/05/2016;58149
13970093;22604069;789;1424834;6048;13970093;2016-05-29 21:53:14;2016-05-29
22604069;36574151;976;2237256;7693;22604069;2016-05-29 23:44:20;2016-05-29
